team_id,team_name,country
5708,Outbreak,Spain
6291,Swarm,"United States"
7331,iGame.com,Finland
5847,ACG,Ukraine
5063,Refuse,Serbia
4535,MaxFloPlay,Poland
4528,aliquo,"United Kingdom"
5412,eSuba,Slovakia
5479,Mythic,Europe
5009,"Playing Ducks",Europe
4579,LowLandLions,Europe
5727,ENCORE,Finland
4758,arkhe,Spain
5564,TEAMGLOBAL,Sweden
4445,fm-eSports,"United Kingdom"
6871,"Secret fe",Europe
4736,Lions,Norway
6792,Prospects,"United States"
6397,"RIP Fonty",Italy
5572,OnlineBOTS,Estonia
6859,FAB,Germany
6394,Play2Win,Spain
6835,GamersLeague,Sweden
6669,"Binary Dragons",Ukraine
4469,k1ck,Portugal
6409,BulletsRage.Pro,Portugal
5115,Kazakhstan,Kazakhstan
7139,"Grinny Bankers",Australia
5154,"Damage Control","South Africa"
4716,myRevenge,Denmark
4651,"Eternity Gaming",Finland
6225,Choke,"United Kingdom"
6213,Enso,Russia
6082,"ex-melty fe",France
6366,Vault,"United States"
5018,Divine,Russia
4593,CPLAY,Denmark
6569,xTc,"South Africa"
6600,"Far East Boys",Russia
6497,TzatzikiKlubben,Sweden
6393,"All-Star Tiger",Other
4683,3DMAX,Slovakia
5235,"Eternal Conflict","South Africa"
6164,Mortality,"United States"
6342,m0nster,Korea
4731,E-Frag,Other
6584,demise,Norway
6386,Winterfox,Australia
6919,"Digital Wave",Russia
5049,COWABUNGA,Finland
5076,Croatia,Croatia
6598,Threats,Vietnam
5102,Latvia,Latvia
5246,ESC,Denmark
5867,"Reason fe",Russia
5445,"LAN DODGERS",CIS
6500,gamENERGY,Poland
5454,SKDC,Canada
5455,NewStyle,Denmark
5869,Streamline,Australia
6638,"ex-Astral Authority","United States"
7220,"Muffin Lightning","United States"
5258,nxl,Indonesia
7229,Rebellion,Vietnam
5272,FTW.PRO,Portugal
6468,Legacy,Australia
4802,ENTiTY,Macedonia
4580,ProGaming.TD,Brazil
4554,Infused,"United Kingdom"
6343,EURONICS,Germany
6520,EFV,China
6973,Kingdom,"United States"
4615,Imaginary,France
6324,"Los Jefes",Denmark
7069,"v0rtex 5	",Korea
4416,BuyKey,France
7095,Overpowered,Slovenia
7073,fruits,Hungary
4490,n!faculty,Germany
6277,Azerbaijan,Azerbaijan
7264,"spray'n'pray",Ukraine
7312,nGse,China
6817,Insomnia,Canada
4689,"EYES ON U",Germany
6416,J2G,Indonesia
6801,"Magnum Monsters",Argentina
4975,wYw,Europe
6427,"Suck Brick Kids","United States"
4826,plan-B,Norway
7130,"SSU White",Australia
4742,Nostalgie,Europe
6780,c5,Jordan
6106,H2B,Hungary
4988,solemn,Finland
6564,PewPew-Armada,"South Africa"
5610,Aftermatch,Sweden
5570,Team4Balkan,Sweden
4864,Nface,China
4613,gosu,Sweden
6982,PLAYZONE,Denmark
4588,"Imaginary fe",France
4534,ALSEN,Poland
7074,Delete,Denmark
4499,CPLAY,Europe
4644,"Frost Gaming","United States"
4687,DRUCKWELLE,Germany
7278,"YETTI 5",Korea
6752,Tempest,Russia
5758,myXMG,Denmark
4804,AWTR,Sweden
4692,e-Sports.rs,Serbia
5110,Italy,Italy
5451,dope,Sweden
6501,PhysX,Romania
6170,Braindead,Canada
6155,EZskins.com,"United Kingdom"
6203,Ecuador,Ecuador
6368,"Red Instinct",France
6339,xqR,Singapore
6353,MiTH,Thailand
6490,T5,Korea
7187,Nexus,Romania
6424,Dynasty,"United States"
6014,"New Era",Russia
7208,"GODSENT Academy",Sweden
6085,"Epsilon fe",France
5999,ISKOLD,Sweden
6100,RB,Serbia
6261,3sUP,"United States"
5837,"GL SHAKER",Finland
6279,Tunisia,Tunisia
5798,ZZCY,China
6301,Splyce,Other
6297,CeX,"United Kingdom"
6308,Singapore,Singapore
6070,h$fyre,Denmark
5418,Expert,Norway
6914,"Without a Roof","United States"
6192,DeToNator,Japan
6923,ANOX,CIS
6434,Coastless,"United States"
5730,VexX,"United States"
4810,fm!Ladies,Europe
6853,Flash,Denmark
4468,x6tence,Spain
4744,w4sp,Germany
4822,Reason,"United Kingdom"
4429,Dynamic,"United States"
6285,Libya,Libya
5695,GUNRUNNERS,"Czech Republic"
5814,Vination,Finland
4590,"Epsilon fe",Germany
6042,MnM,Germany
5806,pow,China
5080,Moldova,Moldova
5641,es4x,Russia
6322,GameplayDNA,Lithuania
6263,SkitLite,Finland
6194,myRevenge,Korea
7064,Phantoms,Portugal
5056,MayaM,Estonia
6447,Refuse,Norway
6588,Whisper,Kuwait
5114,Ireland,Ireland
6970,WinFiction,Bulgaria
4631,Curse,Finland
5075,Montenegro,Montenegro
